Data_Source,Airline_Name,Boarding,Cabin_Staff_Service,Comfort,Entertainment,Food_And_Beverages,Overall_Airline_Rating,Mention,Number_Evaluation
Kayak,air-namibia,"7,2","7,9","7,7","5,8","7,4","7,3",Bien,80
Kayak,air-new-zealand,"8,6","8,9","8,3","8,5","8,2","8,5",Excellent,2662
Kayak,air-niugini,"8,4","8,8","8,4","8,2","8,2","8,4",Excellent,26
Kayak,air-north,"9,6","9,7","9,3","8,3","9,6","9,3",Excellent,45
Kayak,air-panama,"7,6","8,2","7,8",6,"6,9","7,3",Bien,10
Kayak,air-peace,6,8,6,6,4,"6,3",Bien,1
Kayak,air-rarotonga,"9,3","9,3","9,3","9,3","9,3","9,3",Excellent,3
Kayak,air-seoul,"8,3","8,6","8,1",7,"7,1","7,8",Bien,22
Kayak,airserbia,"7,6","8,1","7,5","6,5",7,"7,4",Bien,689
Kayak,air-seychelles,"6,6","6,9","6,7","5,8","6,1","6,3",Bien,40
Kayak,air-sinai,"9,5","9,5",9,"8,5","8,8","9,1",Excellent,8
Kayak,air-tahiti,"8,2","8,2","7,2","6,3","6,6","7,5",Bien,28
Kayak,air-tahiti-nui,"7,8","8,4","7,5","7,5","7,3","7,7",Bien,233
Kayak,air-transat,"7,5",8,"6,8","6,9","6,4","7,1",Bien,1247
Kayak,air-vanuatu,"7,3","8,3","7,7","6,6",7,"7,5",Bien,15
Kayak,air-zimbabwe,"4,7","4,8","4,5","3,2","4,3","4,5",Correct,12
Kayak,air-india-express,"5,6","6,3","5,5","4,8","5,3","5,5",Correct,26
Kayak,airasia,7,"7,3","6,6","5,5","6,1","6,6",Bien,1150
Kayak,airasia-india,"6,6","6,7","6,2","5,3","5,5","6,2",Bien,56
Kayak,airasia-x,"6,4","6,8","5,8","4,1","5,2","5,8",Correct,355
Kayak,air-baltic,"7,3","7,6","6,9","5,9","6,1","6,9",Bien,569
Kayak,aircalin,"7,8","8,2","7,3",6,"7,6","7,4",Bien,26
Kayak,airnorth,6,"7,3",6,2,2,"5,9",Correct,3
Kayak,alaska-airlines,"8,6","8,8","8,3","7,9","7,9","8,3",Excellent,28151
Kayak,alitalia,"7,3","7,6",7,6,"6,3","6,9",Bien,1510
Kayak,allegiant-air,"7,6",8,7,6,"6,2","7,1",Bien,1715
Kayak,alliance-air,"9,7","9,7",9,"6,3","7,3","8,5",Excellent,6
Kayak,amaszonas,"7,2","7,6","7,1",5,"4,8","6,7",Bien,56
Kayak,american-airlines,"7,5","7,9","7,2","6,8","6,7","7,2",Bien,41488
Kayak,ana,"8,9","9,1","8,5","8,4","8,4","8,7",Excellent,4444
Kayak,andes-lineas-aereas,"5,8","7,3","6,1","4,3","5,5","5,9",Correct,84
Kayak,arik-air,5,"5,8",5,"4,3","4,9",5,Correct,104
Kayak,arkia-israeli-airlines,"6,2","7,1","6,1",5,"5,4",6,Bien,177
Kayak,aruba-airlines,8,"8,2","7,6","7,4","7,1","7,7",Bien,191
Kayak,asiana-airlines,"8,4","8,7","8,2",8,"8,1","8,3",Excellent,4130
Kayak,asky,"6,5","6,9","6,4","5,4",6,"6,2",Bien,133
Kayak,asl-airlines-france,8,"8,5","7,3","7,8","7,4","7,8",Bien,151
Kayak,astra-airlines,6,"7,3","6,7",6,6,"6,4",Bien,3
Kayak,atlantic-airways,"9,5","9,4","8,8","5,8","6,9","8,6",Excellent,25
Kayak,atlasglobal,"7,4","7,8","7,3","5,8","6,9","7,1",Bien,287
Kayak,aurigny-air-services,"7,3",8,"7,1",6,6,"6,9",Bien,18
Kayak,aurora,"7,9","8,4","8,3",6,"7,8","7,7",Bien,21
Kayak,austrian-airlines,"8,2","8,5","7,9","7,3","7,5","7,9",Bien,4576
Kayak,avianca,8,"8,3",8,"7,9","7,5","7,9",Bien,12100
Kayak,avianca-brasil,"7,8","8,3",8,"7,7","7,6","7,9",Bien,925
Kayak,avior-airlines,"6,5","6,9","6,6","5,2","5,6","6,2",Bien,497
Kayak,azerbaijan-airlines,"8,4","8,4","8,3","7,4",8,"8,1",Excellent,401
Kayak,azores-airlines,"6,4","7,3","6,1","4,5",6,"6,1",Bien,535
Kayak,azul-brazilian-airlines,"8,1","8,7","8,2","7,9","7,8","8,1",Excellent,1859
Kayak,bahamasair,"7,1","7,6",7,6,"5,9","6,8",Bien,650
Kayak,bangkok-airways,"8,4","8,8","8,3","7,1",8,"8,2",Excellent,1359
Kayak,batik-air,"8,3",8,"8,3","7,4","6,6","7,6",Bien,8
Kayak,beijing-capital-airlines,"7,8","7,8","7,8","7,1","6,8","7,5",Bien,16
Kayak,belavia,"7,9","8,4","7,7","6,7","7,3","7,6",Bien,296
Kayak,biman-bangladesh-airlines,"6,5","7,3",7,"6,4","6,3","6,6",Bien,65
Kayak,binter-cabo-verde,4,10,7,7,6,"6,8",Bien,2
Kayak,binter-canarias,"8,6",9,"8,8","7,4","8,1","8,5",Excellent,41
Kayak,blue-air,"7,3","7,9","7,2",6,"6,7","7,1",Bien,249
Kayak,blue-panorama-airlines,"4,2",5,"4,7","3,6","4,1","4,4",Correct,24
Kayak,boa,"6,9","7,4",7,"5,2","6,4","6,6",Bien,388
Kayak,boutique-air,"8,5","8,8","8,4","7,9",8,"8,3",Excellent,398
Kayak,braathens-regional-aviation,"7,4","7,6","6,8","6,9","7,2","7,2",Bien,10
Kayak,british-airways,"7,6",8,"7,2","6,9","6,8","7,3",Bien,21998
Kayak,brussels-airlines,"7,1","7,6",7,"6,4","6,4","6,9",Bien,2332
Kayak,bulgaria-air,"7,6","8,2","7,6","6,5","7,3","7,5",Bien,223
Kayak,cabo-verde,"7,5","8,5","7,8","6,3",7,"7,4",Bien,9
